MX,23,Alesso,Armin van Buuren
MX,24,Jd Pantoja
MX,25,Nick Jonas
MX,26,Lenny Tavárez
MX,27,Juan Pablo Vega,Vanessa Zamora
MX,28,Charles Ans,Gera MX,Nanpa Básico
MX,29,Dulce María
MX,30,King Gizzard & The Lizard Wizard
MX,31,Roosevelt
MX,32,2KBABY,Marshmello
MX,33,Pahua
MX,34,Ghetto Kids,Darell,Malo
MX,35,Tuzeint
MX,36,Marissa Mur
MX,37,Luis Fonsi,Rauw Alejandro
MX,38,Ariana Grande
MX,39,Nanpa Básico,Gera MX,Charles Ans
MX,40,Alan Walker,salem ilese
MX,41,Paloma Mami
MX,42,Leonel García,Nicole Zignago
MX,43,Cazzu
MX,44,Conan Gray
MX,45,Farina,Arcangel
MX,46,Alex Ferreira
MX,47,Niña Dioz
MX,48,Mogwai
MX,49,María Centeno,Sofia Macchi
MX,50,Simpson Ahuevo
NI,1,Christian Löffler
NI,2,MY FIRST STORY
NI,3,Vicente Fernández
NI,4,C. Tangana,Niño de Elche,La Húngara
NI,5,Cauty
NI,6,Amenazzy,Mau y Ricky,Yandel
NI,7,Arcangel
NI,8,Maluma
NI,9,Ozuna
NI,10,De La Ghetto
NI,11,Anuel AA
NI,12,Sech
NI,13,El Alfa
NI,14,Bad Bunny
NI,15,J Alvarez,Casper Magico
NI,16,Rafa Pabön
NI,17,Alexis y Fido,Baby Rasta & Gringo
NI,18,Ñengo Flow,John Jay
NI,19,Corina Smith,Lyanno
NI,20,Ir Sais
NI,21,Cauty,Brray
NI,22,Joyce Santana,Big Soto
NI,23,BiSH
NI,24,Pabllo Vittar
NI,25,Lunay,Myke Towers,Ozuna
NI,26,Rauw Alejandro,Dalex,Lenny Tavárez
NI,27,Lary Over,Rauw Alejandro,Lil Geniuz
NI,28,Lola Indigo,Rauw Alejandro,Lalo Ebratt
NI,29,Camilo
NI,30,J Balvin
NI,31,Dalex
NI,32,Chimbala,Juan Magán,Omar Montes
NI,33,Jorge Milliano,Logan Romero
NI,34,Pabllo Vittar,Thalia
NI,35,Bizarrap,Don Patricio
NI,36,Mau y Ricky
NI,37,Leebrian,Cauty,Rauw Alejandro
NI,38,El Alfa,Lil Pump
NI,39,Ozuna
NI,40,Logan Romero
NI,41,Mark B.,Lunay,Lirico En La Casa
NI,42,J Balvin
NI,43,Ricky Martin,Residente,Bad Bunny
NI,44,Brytiago,Myke Towers
NI,45,Lunay
NI,46,Diamond la Mafia,Atomic Otro Way,Bulova
NI,47,MC Davo
NI,48,Ozuna
NI,49,Chucho Rivas,Lalo Ebratt
NI,50,Jonas Brothers
PA,1,Christian Löffler
PA,2,MY FIRST STORY
PA,3,Vicente Fernández
PA,4,C. Tangana,Niño de Elche,La Húngara
PA,5,Cauty
PA,6,Amenazzy,Mau y Ricky,Yandel
PA,7,Arcangel
PA,8,Maluma
PA,9,Ozuna
PA,10,De La Ghetto
PA,11,Anuel AA
PA,12,Sech
PA,13,El Alfa
PA,14,Bad Bunny
PA,15,J Alvarez,Casper Magico
PA,16,Rafa Pabön
PA,17,Alexis y Fido,Baby Rasta & Gringo
PA,18,Ñengo Flow,John Jay
PA,19,Corina Smith,Lyanno
PA,20,Ir Sais
PA,21,Cauty,Brray
PA,22,Joyce Santana,Big Soto
PA,23,BiSH
PA,24,Pabllo Vittar
PA,25,Lunay,Myke Towers,Ozuna
PA,26,Rauw Alejandro,Dalex,Lenny Tavárez
PA,27,Lary Over,Rauw Alejandro,Lil Geniuz
PA,28,Lola Indigo,Rauw Alejandro,Lalo Ebratt
PA,29,Camilo
PA,30,J Balvin
PA,31,Dalex
PA,32,Chimbala,Juan Magán,Omar Montes
PA,33,Jorge Milliano,Logan Romero
PA,34,Pabllo Vittar,Thalia
PA,35,Bizarrap,Don Patricio
PA,36,Mau y Ricky
PA,37,Leebrian,Cauty,Rauw Alejandro
PA,38,El Alfa,Lil Pump
PA,39,Ozuna
PA,40,Logan Romero
PA,41,Mark B.,Lunay,Lirico En La Casa
PA,42,J Balvin
PA,43,Ricky Martin,Residente,Bad Bunny
PA,44,Brytiago,Myke Towers
PA,45,Lunay
PA,46,Diamond la Mafia,Atomic Otro Way,Bulova
PA,47,MC Davo
PA,48,Ozuna
PA,49,Chucho Rivas,Lalo Ebratt
PA,50,Jonas Brothers
PY,1,Camilo
PY,2,Rusherking,KHEA,Duki
PY,3,Justin Bieber
PY,4,No Te Va Gustar,Nicki Nicole
PY,5,Maroon 5,Megan Thee Stallion
PY,6,Perro Primo,L-Gante,DT.Bilardo
PY,7,Drake
PY,8,Nestor En Bloque
PY,9,DJ Snake,Selena Gomez
PY,10,Juice WRLD
PY,11,Nick Jonas
PY,12,C.R.O,Joaco Tdeb,Ignacio Gabriel De Tommaso
PY,13,Cardellino
PY,14,C. Tangana
PY,15,Angela Torres
PY,16,Mon Laferte,La Arrolladora Banda El Limón De Rene Camacho
PY,17,Gianluca
PY,18,Andrés Calamaro
PY,19,Maria Becerra
PY,20,L-Gante,Frijo,DT.Bilardo
PY,21,Paloma Mami
PY,22,Cazzu
PY,23,Dom La Nena,Julieta Venegas
PY,24,La Vela Puerca
PY,25,Villa Cariño
PY,26,Roman El Original,L-Gante,Perro Primo
PY,27,Lit Killah
PY,28,Ulises Bueno
PY,29,José González
PY,30,Chule Von Wernich
PY,31,KAROL G,Anuel AA,J Balvin
PY,32,Nicky Jam,Romeo Santos
PY,33,Dua Lipa
PY,34,Migrantes,Nico Valdi
PY,35,Abel Pintos
PY,36,Sia
PY,37,Fuego
PY,38,Rita Ora,Imanbek
PY,39,Kings of Leon
PY,40,Fabiana Cantilo
PY,41,CELLI
PY,42,Kiddtetoon,Polimá Westcoast,Julianno Sosa
PY,43,Evaluna Montaner
PY,44,Kudai
PY,45,Christian Löffler
PY,46,Los Legendarios
PY,47,Cardi B
PY,48,KHEA
PY,49,Foo Fighters
PY,50,CNCO
PE,1,Camilo
PE,2,Kings of Leon
PE,3,C. Tangana
PE,4,Maria Becerra
PE,5,Jd Pantoja
PE,6,Warrior Rapper School
PE,7,vf7
PE,8,Briela Ojeda
PE,9,El Lobo Y La Sociedad Privada
PE,10,Sia
PE,11,Luis Vazquez
PE,12,Christian Löffler
PE,13,Los Legendarios
PE,14,Kevin Roldan
PE,15,CNCO
PE,16,Foo Fighters
PE,17,Maluma
PE,18,Río Roma
PE,19,Corazon Serrano
PE,20,Anuel AA,Ozuna
PE,21,Janice
PE,22,Harry Nach
PE,23,Lennis Rodriguez
PE,24,Danna Paola
PE,25,Armonia 10
PE,26,ZAYN
PE,27,Death Cab for Cutie
PE,28,MY FIRST STORY
PE,29,Paul McCartney
PE,30,"Tito ""El Bambino"""
PE,31,Taylor Swift
PE,32,Aitana
PE,33,Britney Spears
PE,34,Nacho
PE,35,Various Artists
PE,36,Neutro Shorty
PE,37,Grupo 5
PE,38,TINI
PE,39,Shawn Mendes
PE,40,Giru Mad Fleiva
PE,41,Bad Bunny
PE,42,Miley Cyrus
PE,43,Matisse
PE,44,Pabllo Vittar
PE,45,Akapellah
PE,46,MIEL
PE,47,Nicolás Duarte
PE,48,Los Estroboscópicos
PE,49,Kali Uchis
PE,50,Rauw Alejandro
UY,1,Camilo
UY,2,Rusherking,KHEA,Duki
UY,3,Justin Bieber
UY,4,No Te Va Gustar,Nicki Nicole
UY,5,Maroon 5,Megan Thee Stallion
UY,6,Perro Primo,L-Gante,DT.Bilardo
UY,7,Drake
UY,8,Nestor En Bloque
UY,9,DJ Snake,Selena Gomez
UY,10,Juice WRLD
UY,11,Nick Jonas
UY,12,C.R.O,Joaco Tdeb,Ignacio Gabriel De Tommaso
UY,13,Cardellino
UY,14,C. Tangana
UY,15,Angela Torres
UY,16,Mon Laferte,La Arrolladora Banda El Limón De Rene Camacho
UY,17,Gianluca
UY,18,Andrés Calamaro
UY,19,Maria Becerra
UY,20,L-Gante,Frijo,DT.Bilardo
UY,21,Paloma Mami
UY,22,Cazzu
UY,23,Dom La Nena,Julieta Venegas
UY,24,La Vela Puerca
UY,25,Villa Cariño
UY,26,Roman El Original,L-Gante,Perro Primo
UY,27,Lit Killah
UY,28,Ulises Bueno
UY,29,José González
UY,30,Chule Von Wernich
UY,31,KAROL G,Anuel AA,J Balvin
UY,32,Nicky Jam,Romeo Santos
UY,33,Dua Lipa
UY,34,Migrantes,Nico Valdi
UY,35,Abel Pintos
UY,36,Sia
UY,37,Fuego
UY,38,Rita Ora,Imanbek
UY,39,Kings of Leon
UY,40,Fabiana Cantilo
UY,41,CELLI
UY,42,Kiddtetoon,Polimá Westcoast,Julianno Sosa
UY,43,Evaluna Montaner
UY,44,Kudai
UY,45,Christian Löffler
UY,46,Los Legendarios
UY,47,Cardi B
UY,48,KHEA
UY,49,Foo Fighters
UY,50,CNCO
